"TOA5","CR1000_1436_Folgefonna_Modem","CR1000","E10522","CR1000.Std.29","CPU:Calibration_folgefonna_station_code_1436_040926.CR1","14757","Table15min"
"TIMESTAMP","RECORD","ID","BattV_Min","BattV_TMn","PTemp_C_Avg","P","Tilt_X","Tilt_Y","Latitude_A","Latitude_B","Longitude_A","Longitude_B","MagVar","NumSats","Altitude","FixQual","MaxClockChange","NumClockChange","PPS","SecSinceGPRMC","NMEASent(1)","NMEASent(2)","GNSS_Time","Snow_Height","Signal_Quality","T_Avg","T_2_Avg","U_Avg","U_temp_Avg","U_2_Avg","U_temp_2_Avg"
"TS","RN","","Volts","Volts","Deg C","hPa","","","degrees","minutes","degrees","minutes","degrees","count","meters","code","milliseconds","count","microseconds","seconds","","","","","","","","","","",""
"","","Smp","Min","TMn","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2026-04-26 00:45:00",447,1436,12.68,"2026-04-26 00:42:00",-11,832,-0.697,1.374,60,3.947,6,23.45,0.6,10,1651,2,0,0,"NAN",0.33,"$GPRMC,004504,A,6003.9465,N,00623.4528,E,000.0,000.0,260426,000.6,E","$GPGGA,004504,6003.9465,N,00623.4528,E,2,10,0.8,1650.9,M,42.0,M,,","",-999,0,-10.99,-10.42,83.6,-11.94,88.3,-10.64
"2026-04-26 01:00:00",448,1436,12.67,"2026-04-26 00:58:00",-11.01,832,-0.654,1.476,60,3.947,6,23.45,0.6,11,1651,2,0,0,"NAN",0.34,"$GPRMC,010004,A,6003.9470,N,00623.4529,E,000.0,000.0,260426,000.6,E","$GPGGA,010004,6003.9470,N,00623.4529,E,2,11,0.9,1650.7,M,42.0,M,,","",-999,0,-10.59,-10.86,81.5,-11.9,88,-10.9
"2026-04-26 01:15:00",449,1436,12.67,"2026-04-26 01:15:00",-11,832,-0.765,1.476,60,3.947,6,23.45,0.6,11,1650,2,0,0,"NAN",0.34,"$GPRMC,011504,A,6003.9468,N,00623.4532,E,000.0,000.0,260426,000.6,E","$GPGGA,011504,6003.9468,N,00623.4532,E,2,11,0.9,1649.9,M,42.0,M,,","",-999,0,-10.78,-10.6,80.8,-11.88,88.1,-10.98
"2026-04-26 01:30:00",450,1436,12.66,"2026-04-26 01:27:00",-11,832,-0.731,1.527,60,3.947,6,23.45,0.6,11,1649,2,0,0,"NAN",0.38,"$GPRMC,013004,A,6003.9469,N,00623.4536,E,000.0,000.0,260426,000.6,E","$GPGGA,013004,6003.9469,N,00623.4536,E,2,11,0.7,1649.3,M,42.0,M,,","",-999,0,-10.54,-10.72,79.89,-11.64,88.3,-10.88
"2026-04-26 01:45:00",451,1436,12.66,"2026-04-26 01:40:00",-10.98,832,-0.765,1.621,60,3.947,6,23.45,0.6,12,1648,2,0,0,"NAN",0.37,"$GPRMC,014504,A,6003.9465,N,00623.4544,E,000.0,000.0,260426,000.6,E","$GPGGA,014504,6003.9465,N,00623.4544,E,2,12,0.7,1648.3,M,42.0,M,,","",-999,0,-10.69,-10.55,80.4,-11.67,88.2,-10.91
"2026-04-26 02:00:00",452,1436,12.66,"2026-04-26 01:53:00",-10.95,833,-0.782,1.442,60,3.946,6,23.45,0.6,12,1648,2,0,0,"NAN",0.37,"$GPRMC,020004,A,6003.9462,N,00623.4540,E,000.0,000.0,260426,000.6,E","$GPGGA,020004,6003.9462,N,00623.4540,E,2,12,0.7,1648.1,M,42.0,M,,","",-999,0,-10.69,-10.54,79.22,-11.84,88.1,-10.87
"2026-04-26 02:15:00",453,1436,12.65,"2026-04-26 02:10:00",-10.89,833,-0.739,1.468,60,3.946,6,23.45,0.6,12,1647,2,0,0,"NAN",0.32,"$GPRMC,021504,A,6003.9459,N,00623.4538,E,000.0,000.0,260426,000.6,E","$GPGGA,021504,6003.9459,N,00623.4538,E,2,12,0.7,1647.3,M,42.0,M,,","",-999,0,-10.83,-11.1,79.15,-11.92,88,-10.98
"2026-04-26 02:30:00",454,1436,12.65,"2026-04-26 02:23:00",-10.87,833,-0.739,1.519,60,3.946,6,23.45,0.6,12,1646,2,0,0,"NAN",0.37,"$GPRMC,023004,A,6003.9457,N,00623.4535,E,000.0,000.0,260426,000.6,E","$GPGGA,023004,6003.9457,N,00623.4535,E,2,12,0.7,1645.9,M,42.0,M,,","",-999,0,-11.03,-10.78,79.74,-12.03,88.1,-11.01
